"feature","icc_val","icc_lower","icc_upper"
"original_shape_Elongation","0.672761412302608","0.500663971793933","0.825481505845934"
"original_shape_Flatness","0.756999819982327","0.610504407812551","0.875702019289125"
"original_shape_LeastAxisLength","0.969453789412616","0.943903783823136","0.985835021556216"
"original_shape_MajorAxisLength","0.947586361113512","0.905168008821994","0.975458588555941"
"original_shape_Maximum2DDiameterColumn","0.960998503501685","0.928789170020393","0.981846610600753"
"original_shape_Maximum2DDiameterRow","0.945217303934502","0.901040103921014","0.974322323467237"
"original_shape_Maximum2DDiameterSlice","0.952637698728991","0.914013873611163","0.977873384250508"
"original_shape_Maximum3DDiameter","0.942881533837173","0.896983098148068","0.973199678435316"
"original_shape_MeshVolume","0.968729814175263","0.942602750830977","0.985494679410668"
"original_shape_MinorAxisLength","0.974919818967096","0.953768475283786","0.988397634434191"
"original_shape_Sphericity","0.467453257789701","0.272507238028935","0.68308175423694"
"original_shape_SurfaceArea","0.967074539234304","0.939632955183747","0.984715716447433"
"original_shape_SurfaceVolumeRatio","0.934673154897136","0.882826651511046","0.969235893724539"
"original_firstorder_10Percentile","0.625798168587394","0.443887124326456","0.79558032077964"
"original_firstorder_90Percentile","0.851963455402433","0.748414839942636","0.927611871572127"
"original_firstorder_Energy","0.983017986607521","0.968520710066486","0.992171747234533"
"original_firstorder_Entropy","0.772650525756318","0.632143644770027","0.884583814242274"
"original_firstorder_InterquartileRange","0.643807149664208","0.465305875800889","0.807216923775769"
"original_firstorder_Kurtosis","0.6999373884653","0.534928822262671","0.84214427323912"
"original_firstorder_Maximum","0.678072202740315","0.507276388406612","0.828773694354302"
"original_firstorder_Mean","0.607336286243646","0.422369716086953","0.783423503147135"
"original_firstorder_MeanAbsoluteDeviation","0.626624883184817","0.444860984894268","0.796119260017357"
"original_firstorder_Median","0.62070728474986","0.43790976279507","0.792251347810734"
"original_firstorder_Minimum","0.649929457379565","0.472686220981506","0.811124041966241"
"original_firstorder_Range","0.627588420064417","0.445997149610599","0.796746812330514"
"original_firstorder_RobustMeanAbsoluteDeviation","0.625892160226696","0.443997800394249","0.795641617641221"
"original_firstorder_RootMeanSquared","0.621365541869509","0.438680745551439","0.792682778561886"
"original_firstorder_Skewness","0.787503960306745","0.653062565437011","0.892890244306759"
"original_firstorder_Uniformity","0.841170850809164","0.731909627841613","0.921943756107377"
"original_firstorder_Variance","0.640357213552076","0.461169309485201","0.805004416249438"
"original_glcm_Autocorrelation","0.677034216128756","0.505980845871369","0.828131628191292"
"original_glcm_JointAverage","0.689652978080771","0.521835667883896","0.835891870526929"
"original_glcm_ClusterProminence","0.915406333255825","0.850202262058856","0.959816890087999"
"original_glcm_ClusterShade","0.895329086373224","0.817078648842498","0.949826144824378"
"original_glcm_ClusterTendency","0.694806091806592","0.528376702784699","0.839032744375131"
"original_glcm_Contrast","0.748937626517203","0.599514811214542","0.871073878570477"
"original_glcm_Correlation","0.321516082884903","0.137379373054945","0.559995490098239"
"original_glcm_DifferenceAverage","0.822989370536554","0.704606694844929","0.912265069127255"
"original_glcm_DifferenceEntropy","0.844415417891128","0.736847908722773","0.923653739850234"
"original_glcm_DifferenceVariance","0.70952356420234","0.547274217612835","0.84791468484756"
"original_glcm_JointEnergy","0.865697446269161","0.769748204025229","0.934743241476653"
"original_glcm_JointEntropy","0.747816304320762","0.597994691520866","0.870427297789004"
"original_glcm_Imc1","0.85060911998254","0.746331246599935","0.92690370981452"
"original_glcm_Imc2","0.72956833398438","0.573539063712797","0.859804889897775"
"original_glcm_Idm","0.913271047757921","0.846637704677795","0.958762935590929"
"original_glcm_Idmn","0.941252672435076","0.894161471736745","0.972415413983604"
"original_glcm_Id","0.906354286708101","0.835159866920475","0.955334916462195"
"original_glcm_Idn","0.964119241732363","0.93434744338786","0.983322143783727"
"original_glcm_InverseVariance","0.881829864709267","0.7952913533689","0.943005561720119"
"original_glcm_MaximumProbability","0.918923119308998","0.856095036922207","0.961548326064635"
"original_glcm_SumEntropy","0.715905745536043","0.555570089633512","0.851726083680163"
"original_glcm_SumSquares","0.689543010938583","0.521696505326465","0.835824667553465"
"original_glrlm_GrayLevelNonUniformity","0.992649090857571","0.986282264241336","0.996625635234351"
"original_glrlm_GrayLevelNonUniformityNormalized","0.820259087795299","0.700560008534259","0.910797331957743"
"original_glrlm_GrayLevelVariance","0.600804907284275","0.414861525589513","0.779066290019014"
"original_glrlm_HighGrayLevelRunEmphasis","0.709713012157373","0.547519583518248","0.848028169830208"
"original_glrlm_LongRunEmphasis","0.94840472341649","0.906597017048369","0.975850542330968"
"original_glrlm_LongRunHighGrayLevelEmphasis","0.797188441234074","0.666907061367475","0.898242827645504"
"original_glrlm_LongRunLowGrayLevelEmphasis","0.789549762357746","0.655973511433811","0.894025077575183"
"original_glrlm_LowGrayLevelRunEmphasis","0.676218564205152","0.504963883618722","0.827626619162514"
"original_glrlm_RunEntropy","0.605312220652284","0.420037182034121","0.782076395488659"
"original_glrlm_RunLengthNonUniformity","0.925615795927241","0.867385616752321","0.964828278458801"
"original_glrlm_RunLengthNonUniformityNormalized","0.939008179422549","0.890283524090027","0.971332869338425"
"original_glrlm_RunPercentage","0.951532446261162","0.912073188561516","0.977345941680191"
"original_glrlm_RunVariance","0.96150600872695","0.929691464206337","0.982086843630231"
"original_glrlm_ShortRunEmphasis","0.935109635662017","0.883575500396449","0.96944739951928"
"original_glrlm_ShortRunHighGrayLevelEmphasis","0.699554134891276","0.534438103452097","0.841912425561657"
"original_glrlm_ShortRunLowGrayLevelEmphasis","0.617076751336131","0.433667579568037","0.789866535462406"
"original_glszm_GrayLevelNonUniformity","0.956677441571668","0.921131971436259","0.979796821802343"
"original_glszm_GrayLevelNonUniformityNormalized","0.819303229887449","0.699146532060589","0.910282592881972"
"original_glszm_GrayLevelVariance","0.547582773721927","0.355624479068526","0.742415214757528"
"original_glszm_HighGrayLevelZoneEmphasis","0.73102531649671","0.575472359801837","0.860660016829021"
"original_glszm_LargeAreaEmphasis","0.939014934624325","0.890295177916753","0.971336130699249"
"original_glszm_LargeAreaHighGrayLevelEmphasis","0.957769159443768","0.923062314308177","0.980315440962253"
"original_glszm_LargeAreaLowGrayLevelEmphasis","0.791306033679332","0.658478295217539","0.894997536942719"
"original_glszm_LowGrayLevelZoneEmphasis","0.708437073537686","0.545868080074447","0.847263431939488"
"original_glszm_SizeZoneNonUniformity","0.821908261138096","0.703002683446916","0.911684340344419"
"original_glszm_SizeZoneNonUniformityNormalized","0.907774894304344","0.837508730594067","0.95604073364931"
"original_glszm_SmallAreaEmphasis","0.914934134434327","0.849413126068458","0.95958399235892"
"original_glszm_SmallAreaHighGrayLevelEmphasis","0.716902729036795","0.556871608440783","0.852319302479401"
"original_glszm_SmallAreaLowGrayLevelEmphasis","0.607283019782363","0.422308265326876","0.783388088442002"
"original_glszm_ZoneEntropy","0.426155585593419","0.23226897704779","0.650356505906247"
"original_glszm_ZonePercentage","0.928990927463396","0.873117738894941","0.966474909512007"
"original_glszm_ZoneVariance","0.938396862100702","0.889229339607344","0.971037648581672"
"original_gldm_DependenceEntropy","0.531856241483924","0.338757307082681","0.731178607361801"
"original_gldm_DependenceNonUniformity","0.881372863071863","0.794560426341191","0.942773183933805"
"original_gldm_DependenceNonUniformityNormalized","0.932944809651911","0.879865708828909","0.968397577905809"
"original_gldm_DependenceVariance","0.992084611248474","0.98523468247103","0.996365623162498"
"original_gldm_GrayLevelNonUniformity","0.994486072887534","0.989697115847481","0.997470906811536"
"original_gldm_GrayLevelVariance","0.640823224072236","0.461727135397859","0.80530373580215"
"original_gldm_HighGrayLevelEmphasis","0.696227902230626","0.530188313052991","0.839896503965076"
"original_gldm_LargeDependenceEmphasis","0.961050684953545","0.92888191468185","0.981871316213742"
"original_gldm_LargeDependenceHighGrayLevelEmphasis","0.846909813836498","0.740658203523071","0.924964854155954"
"original_gldm_LargeDependenceLowGrayLevelEmphasis","0.814189970542935","0.691613738291356","0.907521163615768"
"original_gldm_LowGrayLevelEmphasis","0.700247845031682","0.535326491269732","0.842332017676121"
"original_gldm_SmallDependenceEmphasis","0.933462933652285","0.880752622284814","0.968649024446198"
"original_gldm_SmallDependenceHighGrayLevelEmphasis","0.701943416067102","0.537500901657711","0.84335636630083"
"original_gldm_SmallDependenceLowGrayLevelEmphasis","0.469837741223485","0.274882396815589","0.684924756495322"
"original_ngtdm_Busyness","0.791948440794234","0.659395836241864","0.895352835138198"
"original_ngtdm_Coarseness","0.923736239636939","0.86420464584243","0.963909133715098"
"original_ngtdm_Complexity","0.597234605304908","0.410779915080698","0.776671818382529"
"original_ngtdm_Contrast","0.832637947880654","0.719018332422138","0.917421878253001"
"original_ngtdm_Strength","0.932290906556097","0.878747249130608","0.968080071236814"
